SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT
AP028853_1,93196,94011,+,APH(3')-Ia,1-816/816,===============,0/0,100,99.02,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
AP028853_1,96472,97332,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP016526_1,43131,43991,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP016526_1,53348,53989,+,catII_from_Escherichia_coli_K-12,1-642/642,===============,0/0,100,96.11,card,X53796.1:186-828,catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.
CP016526_1,151664,153283,+,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP016526_1,156490,157326,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP016526_1,157326,158129,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP016526_1,159903,160472,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
CP016526_1,163184,164023,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP016526_1,164477,165158,+,QnrB20,1-681/681,========/======,1/1,100,99.41,card,AB379831.1:0-681,QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.
CP016526_1,168905,169744,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP016526_1,169738,170085,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP016526_1,170268,171327,-,EreA2,167-1227/1227,.=======/======,2/3,86.31,99.44,card,AF099140.1:136-1363,EreA2 is an integron-encoded erythromycin esterase that hydrolyses the drug's lactone ring. EreA2 is found in Providencia stuartii.
CP016526_1,172730,173539,-,AAC(3)-IIg,1-810/810,===============,0/0,100,100,card,MT090547.1:0-810,AAC(3)-IIg is part of the AAC(3) family. It was initially found in clinical isolates of Enterobacter cloacae.
CP016526_1,175624,176205,-,AAC(6')-IIc,1-582/582,===============,0/0,100,100,card,AF162771.1:61-643,AAC(6')-IIc is an aminoglycoside acetyltransferase encoded by plasmids and integrons in E. cloacae.
CP016526_1,219457,220270,+,APH(3')-Ia,1-814/816,===============,0/0,99.75,99.51,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
CP016764_1,196253,196726,+,dfrA1,1-474/474,===============,0/0,100,100,card,KJ541681.1:19526-20000,dfrA1 is an integron-encoded dihydrofolate reductase.
CP016764_1,197243,198031,+,aadA5,1-789/789,===============,0/0,100,100,card,AF137361.1:63-852,aadA5 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons and integrons in E. coli K. pneumoniae Kluyvera georgiana P. aeruginosa and E. cloacae.
CP016764_1,198199,198546,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP016764_1,198540,199379,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP016764_1,202724,203497,+,armA,1-774/774,===============,0/0,100,100,card,GU437214.1:0-774,ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
CP016764_1,205796,207271,+,msrE,1-1476/1476,===============,0/0,100,100,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.
CP016764_1,207327,208211,+,mphE,1-885/885,===============,0/0,100,100,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.
CP016764_1,210955,211770,+,APH(3')-Ia,1-816/816,===============,0/0,100,100,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
CP020529_1,2406,2975,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
CP020529_1,5687,6526,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP020529_1,6980,7661,+,QnrB20,1-681/681,========/======,1/1,100,99.41,card,AB379831.1:0-681,QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.
CP020529_1,11408,12247,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP020529_1,12241,12588,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP020529_1,12752,13531,-,aadA2,1-780/780,===============,0/0,100,100,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
CP020529_1,56519,57334,+,APH(3')-Ia,1-816/816,===============,0/0,100,100,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
CP020529_1,58282,59142,+,SHV-12,1-861/861,===============,0/0,100,100,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
CP020529_1,67300,68139,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP020529_1,68133,68480,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP020529_1,68644,69435,-,aadA,1-792/792,===============,0/0,100,100,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP020529_1,71699,72208,+,dfrA8,1-510/510,===============,0/0,100,100,card,KJ174469.1:710-1220,dfrA8 is a transposon-encoded dihydrofolate reductase found in Salmonella enterica.
CP020529_1,78833,79492,-,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP020529_1,394231,395850,+,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP020529_1,399057,399893,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP026242_1,322525,323385,-,SHV-5,1-861/861,===============,0/0,100,100,card,X55640.1:111-972,SHV-5 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii Enterobacter cloacae E. coli Klebsiella pneumoniae Pseudomonas aeruginosa and Salmonella enterica.
CP026242_1,330142,330615,+,dfrA1,1-474/474,===============,0/0,100,100,card,KJ541681.1:19526-20000,dfrA1 is an integron-encoded dihydrofolate reductase.
CP026242_1,330708,331499,+,aadA,1-792/792,===============,0/0,100,99.75,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP026242_1,334118,334903,+,AAC(6')-Ib7,1-786/786,===============,0/0,100,100,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
CP026242_1,334979,335443,+,AAC(3)-Ia,1-465/465,===============,0/0,100,98.92,card,U12338.3:5055-5520,AAC(3)-Ia is an aminoglycoside acetyltransferase encoded by plasmids transposons integrons in S. marcescens E. coli Acinetobacter baumannii Klebsiella pneumoniae Klebsiella oxytoca P. aeruginosa Salmonella typhimurium and Proteus mirabilis.
CP026242_1,336487,337278,+,aadA,1-792/792,===============,0/0,100,100,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP026242_1,337442,337789,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP026242_1,337783,338622,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP026242_1,340901,341557,+,QnrA1,1-657/657,===============,0/0,100,100,card,DQ831141.1:8921-9578,QnrA1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.
CP026242_1,341757,342596,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP026661_1,82902,84074,+,ACC-1a,1-1173/1173,===============,0/0,100,99.66,card,NG_048589.1:0-1173,ACC-1a is a ACC beta-lactamase.
CP026661_1,96006,96843,-,sul1,3-840/840,===============,0/0,99.76,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP026661_1,97968,98804,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP026661_1,98804,99607,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP026661_1,152805,154424,-,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP026661_1,258715,259554,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP026661_1,259548,259895,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP026661_1,260059,260850,-,aadA,1-792/792,===============,0/0,100,99.37,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP026661_1,260935,262155,-,EreA,1-1221/1221,===============,0/0,100,99.84,card,AY183453.1:2729-3950,EreA is an erythromycin esterase that hydrolyses the drug's lactone ring.
CP026661_1,268683,269522,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP026661_1,269516,269863,-,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP026661_1,269987,270778,-,aadA,1-792/792,===============,0/0,100,99.75,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
CP026661_1,270848,271427,-,AAC(6')-Ib9,33-612/612,===============,0/0,94.77,99.83,card,AF043381.1:251-863,AAC(6')-Ib9 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
CP026661_1,271510,272310,-,VIM-1,1-801/801,===============,0/0,100,100,card,AF317511.1:187-988,VIM-1 is a beta-lactamase found in Pseudomonas spp.
CP026661_1,279670,280329,-,catA1,1-660/660,===============,0/0,100,99.85,card,V00622.1:243-903,catA1 (formerly in CARD as catI) is a chromosome and transposon-encoded variant of the cat gene found in Escherichia coli and Acinetobacter baumannii.
CP027678_1,73207,74008,-,AAC(6')-Ib7,1-786/786,========/======,1/16,100,98,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
CP027678_1,265344,266963,-,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP028197_1,1482,2124,-,catII_from_Escherichia_coli_K-12,1-642/642,========/======,7/7,99.53,95.05,card,X53796.1:186-828,catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.
CP028197_1,11482,12342,+,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
CP028197_1,169072,169932,-,SHV-12,1-861/861,===============,0/0,100,100,card,KF976405.1:7837-8698,SHV-12 is an extended-spectrum beta-lactamase found in Acinetobacter baumannii.
CP028197_1,172742,173323,+,AAC(6')-IIc,1-582/582,===============,0/0,100,100,card,AF162771.1:61-643,AAC(6')-IIc is an aminoglycoside acetyltransferase encoded by plasmids and integrons in E. cloacae.
CP028197_1,175408,176217,+,AAC(3)-IIg,1-810/810,===============,0/0,100,100,card,MT090547.1:0-810,AAC(3)-IIg is part of the AAC(3) family. It was initially found in clinical isolates of Enterobacter cloacae.
CP028197_1,177620,178679,+,EreA2,167-1227/1227,.=======/======,2/3,86.31,99.44,card,AF099140.1:136-1363,EreA2 is an integron-encoded erythromycin esterase that hydrolyses the drug's lactone ring. EreA2 is found in Providencia stuartii.
CP028197_1,178862,179209,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
CP028197_1,179203,180042,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP028197_1,186308,187123,+,sul2,1-816/816,===============,0/0,100,100,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.
CP028197_1,262849,264468,+,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
CP028197_1,267556,268392,-,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
CP028197_1,268392,269195,-,APH(3'')-Ib,1-804/804,===============,0/0,100,99.88,card,AF313472.2:15593-16397,APH(3'')-Ib is an aminoglycoside phosphotransferase encoded by plasmids transposons integrative conjugative elements and chromosomes in Enterobacteriaceae and Pseudomonas spp.
CP028197_1,270969,271538,-,dfrA19,1-570/570,===============,0/0,100,99.83,card,AJ310778.1:7003-7573,dfrA19 is an integron-encoded dihydrofolate reductase found in Klebsiella pneumoniae.
CP028197_1,274250,275089,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
CP028197_1,275543,276224,+,QnrB20,1-681/681,========/======,1/1,100,99.41,card,AB379831.1:0-681,QnrB20 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.
CP028197_1,279982,281166,-,tet(D),1-1185/1185,===============,0/0,100,100,card,AF467077.1:163-1348,TetD is a tetracycline efflux pump found exclusively in Gram-negative bacteria.
CP028197_1,282778,283419,-,catII_from_Escherichia_coli_K-12,1-642/642,===============,0/0,100,96.11,card,X53796.1:186-828,catII is a chloramphenicol acetyltransferase. This particular catII is found in E.coli K-12. Confers resistance to chloramphenicol.
CP028197_1,297762,298976,+,floR,1-1215/1215,===============,0/0,100,99.92,card,AF231986.2:3307-4522,floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica Escherichia coli Klebsiella pneumoniae Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 and Vibrio cholerae.
